,0
0,0.0
1,-0.07615202809
2,-0.144351792476
3,-0.206638710139
4,-0.265972632327
5,-0.323776114882
6,-0.380750153783
7,-0.43727010722
8,-0.493543456504
9,-0.54968472013
10,-0.605756243346
11,-0.661791419967
12,-0.717807865762
13,-0.773814750777
14,-0.829816795168
15,-0.88581640566
16,-0.941814799621
17,-0.997812588645
18,-1.0538100782
19,-1.1098074201
20,-1.16580468943
21,-1.22180192323
22,-1.27779913966
23,-1.33379634763
24,-1.3897935515
25,-1.44579075336
26,-1.50178795426
27,-1.5577851547
28,-1.61378235491
29,-1.66977955501
30,-1.72577675506
31,-1.78177395508
32,-1.83777115509
33,-1.8937683551
34,-1.9497655551
35,-2.0057627551
36,-2.0617599551
37,-2.1177571551
38,-2.1737543551
39,-2.2297515551
40,-2.2857487551
41,-2.3417459551
42,-2.3977431551
43,-2.4537403551
44,-2.5097375551
45,-2.5657347551
46,-2.6217319551
47,-2.6777291551
48,-2.7337263551
49,-2.7897235551
50,-2.8457207551
51,-2.9017179551
52,-2.9577151551
53,-3.0137123551
54,-3.0697095551
55,-3.1257067551
56,-3.1817039551
57,-3.2377011551
58,-3.2936983551
59,-3.3496955551
60,-3.4056927551
61,-3.4616899551
62,-3.5176871551
63,-3.5736843551
64,-3.6296815551
65,-3.6856787551
66,-3.7416759551
67,-3.7976731551
68,-3.8536703551
69,-3.9096675551
70,-3.9656647551
71,-4.0216619551
72,-4.0776591551
73,-4.1336563551
74,-4.1896535551
75,-4.2456507551
76,-4.3016479551
77,-4.3576451551
78,-4.4136423551
79,-4.4696395551
80,-4.5256367551
81,-4.5816339551
82,-4.6376311551
83,-4.6936283551
84,-4.7496255551
85,-4.8056227551
86,-4.8616199551
87,-4.9176171551
88,-4.9736143551
89,-5.0296115551
90,-5.0856087551
91,-5.1416059551
92,-5.1976031551
93,-5.2536003551
94,-5.3095975551
95,-5.3655947551
96,-5.4215919551
97,-5.4775891551
98,-5.5335863551
